Date,Hours,Visitors,Visitors/Hr,Notes
5/1/2012,2,81,40.5,
5/2/2012,6,110,18.33333333,
5/3/2012,6,166,27.66666667,
5/4/2012,6,242,40.33333333,
5/5/2012,6,373,62.16666667,
5/6/2012,3,327,109,
5/7/2012,2,25,12.5,
5/8/2012,2,28,14,
5/9/2012,6,144,24,
5/10/2012,6,140,23.33333333,
5/11/2012,6,169,28.16666667,
5/12/2012,6,303,50.5,
5/13/2012,3,137,45.66666667,
5/14/2012,3,3,1,
5/15/2012,0,0,Closed,
5/16/2012,6,135,22.5,
5/17/2012,6,119,19.83333333,
5/18/2012,6,202,33.66666667,
5/19/2012,6,533,88.83333333,
5/20/2012,3,255,85,
5/21/2012,3,112,37.33333333,
5/22/2012,6,60,10,
5/23/2012,6,94,15.66666667,
5/24/2012,6,50,8.333333333,
5/25/2012,6,183,30.5,
5/26/2012,6.25,531,84.96,
5/27/2012,3,307,102.3333333,
5/28/2012,3,224,74.66666667,
5/29/2012,6,99,16.5,
5/30/2012,6,88,14.66666667,
5/31/2012,6,169,28.16666667,
6/1/2012,6,124,20.66666667,
6/2/2012,6,339,56.5,
6/3/2012,3,165,55,
6/4/2012,3,103,34.33333333,
6/5/2012,6,84,14,
6/6/2012,6,179,29.83333333,
6/7/2012,6,148,24.66666667,
6/8/2012,6,198,33,
6/9/2012,4,215,53.75,
6/10/2012,3,181,60.33333333,
6/11/2012,3,103,34.33333333,
6/12/2012,6,266,44.33333333,
6/13/2012,6,206,34.33333333,
6/14/2012,3,152,50.66666667,
6/15/2012,6,261,43.5,
6/16/2012,6,338,56.33333333,
6/17/2012,3,208,69.33333333,
6/18/2012,3,120,40,
6/19/2012,6,207,34.5,
6/20/2012,3,132,44,
6/21/2012,3,140,46.66666667,
6/22/2012,6,331,55.16666667,
6/23/2012,6,413,68.83333333,
6/24/2012,3,233,77.66666667,
6/25/2012,3,179,59.66666667,
6/26/2012,6,256,42.66666667,
6/27/2012,6,292,48.66666667,
6/28/2012,6,305,50.83333333,
6/29/2012,6,275,45.83333333,
6/30/2012,6,378,63,
7/1/2012,3,220,73.33333333,
7/2/2012,3,239,79.66666667,
7/3/2012,6,308,51.33333333,
7/4/2012,6,265,44.16666667,
7/5/2012,6,339,56.5,
7/6/2012,6,462,77,
7/7/2012,6,403,67.16666667,
7/8/2012,3,261,87,
7/9/2012,3,169,56.33333333,
7/10/2012,3,142,47.33333333,
7/11/2012,6,313,52.16666667,
7/12/2012,6,334,55.66666667,
7/13/2012,6,342,57,
7/14/2012,6,392,65.33333333,
7/15/2012,3,233,77.66666667,
7/16/2012,3,168,56,
7/17/2012,6,351,58.5,
7/18/2012,6,288,48,
7/19/2012,6,248,41.33333333,
7/20/2012,6,306,51,
7/21/2012,6,349,58.16666667,
7/22/2012,3,219,73,
7/23/2012,3,186,62,
7/24/2012,6,288,48,
7/25/2012,6,293,48.83333333,
7/26/2012,6,271,45.16666667,
7/27/2012,6,279,46.5,
7/28/2012,6,396,66,
7/29/2012,3,238,79.33333333,
7/30/2012,3,136,45.33333333,
7/31/2012,6,238,39.66666667,
8/1/2012,6,225,37.5,
8/2/2012,6,202,33.66666667,
8/3/2012,6,180,30,
8/4/2012,6,264,44,
8/5/2012,3,123,41,
8/6/2012,3,171,57,
8/7/2012,6,301,50.16666667,
8/8/2012,6,225,37.5,
8/9/2012,6,214,35.66666667,
8/10/2012,6,193,32.16666667,
8/11/2012,6,404,67.33333333,
8/12/2012,3,176,58.66666667,
8/13/2012,3,111,37,
8/14/2012,6,209,34.83333333,
8/15/2012,6,166,27.66666667,
8/16/2012,6,174,29,
8/17/2012,6,206,34.33333333,
8/18/2012,6,259,43.16666667,
8/19/2012,3,207,69,
8/20/2012,3,139,46.33333333,
8/21/2012,6,134,22.33333333,
8/22/2012,6,87,14.5,
8/23/2012,6,138,23,
8/24/2012,6,119,19.83333333,
8/25/2012,6,196,32.66666667,
8/26/2012,3,105,35,
8/27/2012,3,21,7,
8/28/2012,3,40,13.33333333,
8/29/2012,6,58,9.666666667,
8/30/2012,6,33,5.5,
8/31/2012,6,30,5,
9/1/2012,6,255,42.5,
9/2/2012,3,275,91.66666667,
9/3/2012,3,244,81.33333333,
9/4/2012,0,0,Closed,
9/5/2012,6,23,3.833333333,
9/6/2012,6,14,2.333333333,
9/7/2012,6,50,8.333333333,
9/8/2012,6,199,33.16666667,
9/9/2012,3,95,31.66666667,
9/10/2012,3,0,0,
9/11/2012,0,0,Closed,
9/12/2012,6,23,3.833333333,
9/13/2012,6,23,3.833333333,
9/14/2012,6,26,4.333333333,
9/15/2012,6,419,69.83333333,
9/16/2012,3,90,30,
9/17/2012,3,11,3.666666667,
9/18/2012,0,0,Closed,
9/19/2012,6,18,3,
9/20/2012,6,10,1.666666667,
9/21/2012,6,31,5.166666667,
9/22/2012,6,155,25.83333333,
9/23/2012,3,70,23.33333333,
9/24/2012,0,0,Closed,
9/25/2012,6,33,5.5,
9/26/2012,6,83,13.83333333,
9/27/2012,6,41,6.833333333,
9/28/2012,6,75,12.5,
9/29/2012,6,260,43.33333333,
9/30/2012,3,127,42.33333333,
10/1/2012,3,39,13,
10/2/2012,6,85,14.16666667,
10/3/2012,0,0,Closed,
10/4/2012,2,24,12,
10/5/2012,2,27,13.5,
10/6/2012,6,111,18.5,
10/7/2012,3,107,35.66666667,
10/8/2012,3,38,12.66666667,
10/9/2012,0,0,Closed,
10/10/2012,2,16,8,
10/11/2012,2,14,7,
10/12/2012,6,133,22.16666667,
10/13/2012,6,155,25.83333333,
10/14/2012,3,47,15.66666667,
10/15/2012,3,45,15,
10/16/2012,0,0,Closed,
10/17/2012,3,27,9,
10/18/2012,3,46,15.33333333,
10/19/2012,6,121,20.16666667,
10/20/2012,2.5,82,32.8,
10/21/2012,3,52,17.33333333,
10/22/2012,3,40,13.33333333,
10/23/2012,6,56,9.333333333,
10/24/2012,2,6,3,
10/25/2012,3,12,4,
10/26/2012,3,25,8.333333333,
10/27/2012,6,114,19,
10/28/2012,3,49,16.33333333,
10/29/2012,3,20,6.666666667,
10/30/2012,6,105,17.5,
10/31/2012,6,46,7.666666667,
11/1/2012,3,13,4.333333333,
11/2/2012,2,8,4,
11/3/2012,6,127,21.16666667,
11/4/2012,3,84,28,
11/5/2012,3,10,3.333333333,
11/6/2012,6,78,13,
11/7/2012,6,71,11.83333333,
11/8/2012,6,10,1.666666667,
11/9/2012,6,63,10.5,
11/10/2012,6,177,29.5,
11/11/2012,3,79,26.33333333,
11/12/2012,3,73,24.33333333,
11/13/2012,0,0,Closed,
11/14/2012,2,10,5,
11/15/2012,0,0,Closed,
11/16/2012,2,21,10.5,
11/17/2012,6,145,24.16666667,
11/18/2012,3,107,35.66666667,
11/19/2012,3,50,16.66666667,
11/20/2012,6,35,5.833333333,Thanksgiving
11/21/2012,6,107,17.83333333,
11/22/2012,0,0,Closed,
11/23/2012,6,228,38,
11/24/2012,6,290,48.33333333,
11/25/2012,3,67,22.33333333,
11/26/2012,3,29,9.666666667,
11/27/2012,6,39,6.5,
11/28/2012,2,2,1,
11/29/2012,3,3,1,
11/30/2012,3,23,7.666666667,
12/1/2012,6,92,15.33333333,
12/2/2012,3,34,11.33333333,
12/3/2012,3,4,1.333333333,
12/4/2012,0,0,Closed,
12/5/2012,6,48,8,
12/6/2012,3,42,14,
12/7/2012,3,55,18.33333333,
12/8/2012,6,122,20.33333333,
12/9/2012,3,76,25.33333333,
12/10/2012,3,21,7,
12/11/2012,6,45,7.5,
12/12/2012,3,17,5.666666667,
12/13/2012,2,19,9.5,
12/14/2012,1.5,0,0,
12/15/2012,3.5,64,18.28571429,
12/16/2012,3,81,27,
12/17/2012,3,11,3.666666667,
12/18/2012,6,47,7.833333333,
12/19/2012,6,13,2.166666667,
12/20/2012,6,37,6.166666667,
12/21/2012,6,156,26,
12/22/2012,6,151,25.16666667,
12/23/2012,3,130,43.33333333,
12/24/2012,0,0,Closed,Christmas Eve
12/25/2012,0,0,Closed,Christmas
12/26/2012,6,178,29.66666667,
12/27/2012,6,300,50,
12/28/2012,6,421,70.16666667,
12/29/2012,6,407,67.83333333,
12/30/2012,3,212,70.66666667,
12/31/2012,3,90,30,
1/1/2013,0,0,Closed,
1/2/2013,6,110,18.33333333,
1/3/2013,2,30,15,
1/4/2013,3,86,28.66666667,
1/5/2013,6,251,41.83333333,
1/6/2013,3,82,27.33333333,
1/7/2013,3,19,6.333333333,
1/8/2013,6,62,10.33333333,
1/9/2013,1.5,10,6.666666667,
1/10/2013,1.5,12,8,
1/11/2013,1.5,6,4,
1/12/2013,6,173,28.83333333,
1/13/2013,3,90,30,
1/14/2013,3,20,6.666666667,
1/15/2013,2,0,0,
1/16/2013,6,67,11.16666667,
1/17/2013,6,131,21.83333333,
1/18/2013,1.5,41,27.33333333,
1/19/2013,3,248,82.66666667,
1/20/2013,3,170,56.66666667,
1/21/2013,3,174,58,
1/22/2013,6,140,23.33333333,
1/23/2013,6,38,6.333333333,
1/24/2013,3,29,9.666666667,
1/25/2013,0,0,Closed,
1/26/2013,5,145,29,
1/27/2013,3,183,61,
1/28/2013,3,20,6.666666667,
1/29/2013,6,80,13.33333333,
1/30/2013,2,6,3,
1/31/2013,6,36,6,
2/1/2013,3,65,21.66666667,
2/2/2013,6,228,38,
2/3/2013,3,109,36.33333333,
2/4/2013,3,16,5.333333333,
2/5/2013,6,47,7.833333333,
2/6/2013,6,34,5.666666667,
2/7/2013,1.5,12,8,
2/8/2013,6,47,7.833333333,
2/9/2013,6,287,47.83333333,
2/10/2013,3,150,50,
2/11/2013,3,22,7.333333333,
2/12/2013,6,60,10,
2/13/2013,3,25,8.333333333,
2/14/2013,0,0,Closed,
2/15/2013,2,15,7.5,
2/16/2013,2.5,57,22.8,
2/17/2013,3,117,39,
2/18/2013,3,110,36.66666667,
2/19/2013,2,110,55,
2/20/2013,1.5,6,4,
2/21/2013,1,0,0,
2/22/2013,3,31,10.33333333,
2/23/2013,6,286,47.66666667,
2/24/2013,3,75,25,
2/25/2013,3,4,1.333333333,
2/26/2013,6,70,11.66666667,
2/27/2013,5,49,9.8,
2/28/2013,6,110,18.33333333,
3/1/2013,0,0,Closed,
3/2/2013,6,195,32.5,
3/3/2013,3,99,33,
3/4/2013,3,0,0,
3/5/2013,3,18,6,
3/6/2013,6,95,15.83333333,
3/7/2013,4.5,14,3.111111111,
3/8/2013,6,60,10,
3/9/2013,6,215,35.83333333,
3/10/2013,3,67,22.33333333,
3/11/2013,3,35,11.66666667,
3/12/2013,6,156,26,
3/13/2013,0,0,Closed,
3/14/2013,4.5,44,9.777777778,
3/15/2013,4.5,100,22.22222222,
3/16/2013,6,187,31.16666667,
3/17/2013,3,94,31.33333333,
3/18/2013,3,40,13.33333333,
3/19/2013,2,39,19.5,
3/20/2013,3,31,10.33333333,
3/21/2013,6,39,6.5,
3/22/2013,3,48,16,
3/23/2013,6,234,39,
3/24/2013,3,175,58.33333333,
3/25/2013,3,64,21.33333333,
3/26/2013,5,45,9,
3/27/2013,6,134,22.33333333,
3/28/2013,9,189,21,
3/29/2013,6,251,41.83333333,
3/30/2013,6,223,37.16666667,
3/31/2013,3,79,26.33333333,
4/1/2013,2,24,12,
4/2/2013,5,179,35.8,
4/3/2013,5,282,56.4,
4/4/2013,8,237,29.625,
4/5/2013,5,194,38.8,
4/6/2013,6,300,50,
4/7/2013,3,75,25,
4/8/2013,3,74,24.66666667,
4/9/2013,2,90,45,
4/10/2013,2.5,25,10,
4/11/2013,9,118,13.11111111,
4/12/2013,6,101,16.83333333,
4/13/2013,6,132,22,
4/14/2013,3,55,18.33333333,
4/15/2013,3,70,23.33333333,
4/16/2013,6,104,17.33333333,
4/17/2013,1.5,4,2.666666667,
4/18/2013,9,184,20.44444444,
4/19/2013,1.5,0,0,
4/20/2013,3,124,41.33333333,
4/21/2013,3,80,26.66666667,
4/22/2013,3,73,24.33333333,
4/23/2013,6,152,25.33333333,
4/24/2013,1,3,3,
4/25/2013,9,98,10.88888889,
4/26/2013,3.5,21,6,
4/27/2013,6,198,33,
4/28/2013,3,134,44.66666667,
4/29/2013,3,11,3.666666667,
4/30/2013,6,182,30.33333333,
5/1/2013,1.5,37,24.66666667,
5/2/2013,1.5,18,12,
5/3/2013,3,35,11.66666667,
5/4/2013,6,96,16,
5/5/2013,3,113,37.66666667,
5/6/2013,3,10,3.333333333,
5/7/2013,6,116,19.33333333,
5/8/2013,1,5,5,
5/9/2013,9,107,11.88888889,
5/10/2013,2,29,14.5,
5/11/2013,3,85,28.33333333,
5/12/2013,3,43,14.33333333,
5/13/2013,3,17,5.666666667,
5/14/2013,5,75,15,
5/15/2013,3,8,2.666666667,
5/16/2013,8,73,9.125,
5/17/2013,6,42,7,
5/18/2013,6,165,27.5,
5/19/2013,3,103,34.33333333,
5/20/2013,0,0,Closed,
5/21/2013,6,82,13.66666667,
5/22/2013,2,5,2.5,
5/23/2013,9,35,3.888888889,
5/24/2013,6,71,11.83333333,
5/25/2013,6,206,34.33333333,
5/26/2013,3,114,38,
5/27/2013,3,56,18.66666667,
5/28/2013,6,126,21,
5/29/2013,3.5,29,8.285714286,
5/30/2013,9,63,7,
5/31/2013,6,117,19.5,
6/1/2013,6,137,22.83333333,
6/2/2013,3,55,18.33333333,
6/3/2013,3,76,25.33333333,
6/4/2013,6,120,20,
6/5/2013,6,122,20.33333333,
6/6/2013,8,119,14.875,
6/7/2013,6,70,11.66666667,
6/8/2013,6,159,26.5,
6/9/2013,3,77,25.66666667,
6/10/2013,3,67,22.33333333,
6/11/2013,5,50,10,
6/12/2013,6,150,25,
6/13/2013,7,54,7.714285714,
6/14/2013,1.5,30,20,
6/15/2013,6,177,29.5,
6/16/2013,3,106,35.33333333,
6/17/2013,3,79,26.33333333,
6/18/2013,2.5,23,9.2,
6/19/2013,2,36,18,
6/20/2013,9,115,12.77777778,
6/21/2013,6,148,24.66666667,
6/22/2013,6,192,32,
6/23/2013,3,180,60,
6/24/2013,3,39,13,
6/25/2013,2,25,12.5,
6/26/2013,0,7,Closed,
6/27/2013,9,172,19.11111111,
6/28/2013,2.5,70,28,
6/29/2013,6,226,37.66666667,
6/30/2013,3,150,50,
7/1/2013,3,99,33,
7/2/2013,6,163,27.16666667,
7/3/2013,6,155,25.83333333,
7/4/2013,6,105,17.5,
7/5/2013,6,201,33.5,
7/6/2013,6,197,32.83333333,
7/7/2013,3,130,43.33333333,
7/8/2013,3,42,14,
7/9/2013,6,211,35.16666667,
7/10/2013,6,190,31.66666667,
7/11/2013,9,225,25,
7/12/2013,6,176,29.33333333,
7/13/2013,6,232,38.66666667,
7/14/2013,3,100,33.33333333,
7/15/2013,3,99,33,
7/16/2013,6,102,17,
7/17/2013,2.5,89,35.6,
7/18/2013,9,308,34.22222222,
7/19/2013,2.5,93,37.2,
7/20/2013,6,193,32.16666667,
7/21/2013,3,127,42.33333333,
7/22/2013,3,46,15.33333333,
7/23/2013,6,196,32.66666667,
7/24/2013,6,151,25.16666667,
7/25/2013,9,254,28.22222222,
7/26/2013,6,126,21,
7/27/2013,6,183,30.5,
7/28/2013,3,103,34.33333333,
7/29/2013,3,27,9,
7/30/2013,6,118,19.66666667,
7/31/2013,6,132,22,
8/1/2013,6,135,22.5,
8/2/2013,6,192,32,
8/3/2013,6,235,39.16666667,
8/4/2013,3,95,31.66666667,
8/5/2013,3,53,17.66666667,
8/6/2013,6,132,22,
8/7/2013,6,89,14.83333333,
8/8/2013,9,93,10.33333333,
8/9/2013,6,191,31.83333333,
8/10/2013,6,213,35.5,
8/11/2013,3,95,31.66666667,
8/12/2013,3,45,15,
8/13/2013,6,111,18.5,
8/14/2013,6,114,19,
8/15/2013,9,138,15.33333333,
8/16/2013,6,130,21.66666667,
8/17/2013,6,215,35.83333333,
8/18/2013,3,84,28,
8/19/2013,3,44,14.66666667,
8/20/2013,6,103,17.16666667,
8/21/2013,6,80,13.33333333,
8/22/2013,9,103,11.44444444,
8/23/2013,6,110,18.33333333,
8/24/2013,6,154,25.66666667,
8/25/2013,3,74,24.66666667,
8/26/2013,3,15,5,
8/27/2013,6,42,7,
8/28/2013,6,36,6,
8/29/2013,5,31,6.2,
8/30/2013,6,36,6,
8/31/2013,6,137,22.83333333,
9/1/2013,3,173,57.66666667,
9/2/2013,3,90,30,
9/3/2013,6,2,0.3333333333,
9/4/2013,6,68,11.33333333,
9/5/2013,6,9,1.5,
9/6/2013,6,95,15.83333333,
9/7/2013,6,76,12.66666667,
9/8/2013,3,65,21.66666667,
9/9/2013,3,7,2.333333333,
9/10/2013,6,9,1.5,
9/11/2013,6,10,1.666666667,
9/12/2013,6,7,1.166666667,
9/13/2013,6,28,4.666666667,
9/14/2013,6,79,13.16666667,
9/15/2013,3,42,14,
9/16/2013,3,11,3.666666667,
9/17/2013,6,9,1.5,
9/18/2013,6,18,3,
9/19/2013,9,33,3.666666667,
9/20/2013,6,47,7.833333333,
9/21/2013,6,413,68.83333333,
9/22/2013,0,0,Closed,
9/23/2013,3,39,13,
9/24/2013,6,30,5,
9/25/2013,6,36,6,
9/26/2013,9,52,5.777777778,
9/27/2013,4,25,6.25,
9/28/2013,6,98,16.33333333,
9/29/2013,3,55,18.33333333,
9/30/2013,0,0,Closed,
10/1/2013,6,28,4.666666667,
10/2/2013,6,25,4.166666667,
10/3/2013,9,45,5,
10/4/2013,2,8,4,
10/5/2013,6,74,12.33333333,
10/6/2013,3,74,24.66666667,
10/7/2013,3,23,7.666666667,
10/8/2013,6,48,8,
10/9/2013,6,52,8.666666667,
10/10/2013,6,52,8.666666667,
10/11/2013,6,68,11.33333333,
10/12/2013,6,133,22.16666667,
10/13/2013,3,79,26.33333333,
10/14/2013,3,74,24.66666667,
10/15/2013,6,36,6,
10/16/2013,3,42,14,
10/17/2013,9,62,6.888888889,
10/18/2013,6,76,12.66666667,
10/19/2013,6,91,15.16666667,
10/20/2013,3,41,13.66666667,
10/21/2013,0,0,Closed,
10/22/2013,6,50,8.333333333,
10/23/2013,6,13,2.166666667,
10/24/2013,6,53,8.833333333,
