Date,Hours,Visitors,Visitors/Hr,Notes
7/1/2012,3,204,68,
7/2/2012,3,215,71.66666667,
7/3/2012,6,398,66.33333333,
7/4/2012,6,267,44.5,
7/5/2012,6,399,66.5,
7/6/2012,6,364,60.66666667,
7/7/2012,5,349,69.8,
7/8/2012,3,209,69.66666667,
7/9/2012,3,193,64.33333333,
7/10/2012,6,368,61.33333333,
7/11/2012,6,409,68.16666667,
7/12/2012,6,400,66.66666667,
7/13/2012,6,424,70.66666667,
7/14/2012,5,368,73.6,
7/15/2012,3,185,61.66666667,
7/16/2012,3,212,70.66666667,
7/17/2012,6,432,72,
7/18/2012,6,445,74.16666667,
7/19/2012,6,352,58.66666667,
7/20/2012,6,422,70.33333333,
7/21/2012,5,348,69.6,
7/22/2012,3,210,70,
7/23/2012,3,227,75.66666667,
7/24/2012,6,346,57.66666667,
7/25/2012,6,463,77.16666667,
7/26/2012,6,341,56.83333333,
7/27/2012,6,375,62.5,
7/28/2012,5,300,60,
7/29/2012,3,235,78.33333333,
7/30/2012,3,177,59,
7/31/2012,6,305,50.83333333,
8/1/2012,6,347,57.83333333,
8/2/2012,5,316,63.2,
8/3/2012,6,244,40.66666667,
8/4/2012,5,392,78.4,
8/5/2012,3,212,70.66666667,
8/6/2012,3,149,49.66666667,
8/7/2012,6,340,56.66666667,
8/8/2012,5,260,52,
8/9/2012,6,291,48.5,
8/10/2012,6,387,64.5,
8/11/2012,5,404,80.8,
8/12/2012,3,210,70,
8/13/2012,3,138,46,
8/14/2012,6,319,53.16666667,
8/15/2012,6,354,59,
8/16/2012,6,290,48.33333333,
8/17/2012,6,332,55.33333333,
8/18/2012,5,346,69.2,
8/19/2012,3,234,78,
8/20/2012,0,0,Closed,
8/21/2012,6,213,35.5,
8/22/2012,6,295,49.16666667,
8/23/2012,6,253,42.16666667,
8/24/2012,6,273,45.5,
8/25/2012,5,279,55.8,
8/26/2012,3,149,49.66666667,
8/27/2012,0,0,Closed,
8/28/2012,6,109,18.16666667,
8/29/2012,6,109,18.16666667,
8/30/2012,6,108,18,
8/31/2012,6,92,15.33333333,
9/1/2012,5,347,69.4,
9/2/2012,3,316,105.3333333,
9/3/2012,3,244,81.33333333,
9/4/2012,5,392,78.4,
9/5/2012,5,212,42.4,
9/6/2012,6,149,24.83333333,
9/7/2012,6,340,56.66666667,
9/8/2012,5,260,52,
9/9/2012,3,291,97,
9/10/2012,0,387,Closed,
9/11/2012,6,404,67.33333333,
9/12/2012,4,210,52.5,
9/13/2012,5,138,27.6,
9/14/2012,6,319,53.16666667,
9/15/2012,6,354,59,
9/16/2012,3,290,96.66666667,
9/17/2012,0,332,Closed,
9/18/2012,6,346,57.66666667,
9/19/2012,6,234,39,
9/20/2012,5,0,0,
9/21/2012,6,213,35.5,
9/22/2012,5,295,59,
9/23/2012,3,253,84.33333333,
9/24/2012,0,273,Closed,
9/25/2012,6,279,46.5,
9/26/2012,6,149,24.83333333,
9/27/2012,6,0,0,
9/28/2012,6,109,18.16666667,
9/29/2012,5,109,21.8,
9/30/2012,3,108,36,
10/1/2012,3,80,26.66666667,
10/2/2012,6,153,25.5,
10/3/2012,6,174,29,
10/4/2012,6,230,38.33333333,
10/5/2012,6,257,42.83333333,
10/6/2012,6,243,40.5,
10/7/2012,3,176,58.66666667,
10/8/2012,3,105,35,
