Date,Hours,Visitors,Visitors/Hr,Notes
4/21/2012,16,2966,,
4/22/2012,3,215,,
4/23/2012,3,198,,
4/24/2012,6,65,,
4/25/2012,6,178,,
4/26/2012,4,78,,
4/27/2012,6,257,,
4/28/2012,6,326,,
4/29/2012,3,130,,
4/30/2012,3,87,,
5/1/2012,6,108,,
5/2/2012,6,75,,
5/3/2012,6,134,,
5/4/2012,6,148,,
5/5/2012,6,197,,
5/6/2012,3,109,,
5/7/2012,6,65,,
5/8/2012,6,44,,
5/9/2012,0,0,,
5/10/2012,6,91,,
5/11/2012,6,81,,
5/12/2012,6,122,,
5/13/2012,3,116,,
5/14/2012,3,24,,
5/15/2012,6,39,,
5/16/2012,2,64,,
5/17/2012,6,89,,
5/18/2012,6,126,,
5/19/2012,6,36,,
5/20/2012,3,34,,
5/21/2012,3.5,75,,
5/22/2012,6,82,,
5/23/2012,6,114,,
5/24/2012,6,41,,
5/25/2012,6,143,,
5/26/2012,6,168,,
5/27/2012,3,130,,
5/28/2012,3,112,,
5/29/2012,6,69,,
5/30/2012,6,68,,
5/31/2012,6,71,,
6/1/2012,6,113,,
6/2/2012,6,158,,
6/3/2012,3,98,,
6/4/2012,3,44,,
6/5/2012,6,169,,
6/6/2012,6,157,,
6/7/2012,6,125,,
6/8/2012,6,188,,
6/9/2012,6,177,,
6/10/2012,3,103,,
6/11/2012,3,91,,
6/12/2012,6,202,,
6/13/2012,6,161,,
6/14/2012,6,120,,
6/15/2012,6,180,,
6/16/2012,6,147,,
6/17/2012,3,138,,
6/18/2012,3,132,,
6/19/2012,6,146,,
6/20/2012,6,174,,
6/21/2012,6,148,,
6/22/2012,6,118,,
6/23/2012,6,181,,
6/24/2012,3,82,,
6/25/2012,3,88,,
6/26/2012,4.5,145,,
6/27/2012,3,121,,
6/28/2012,6,184,,
6/29/2012,6,204,,
6/30/2012,6,182,,
7/1/2012,3,115,,
7/2/2012,3,118,,
7/3/2012,6,182,,
7/4/2012,6,176,,
7/5/2012,6,207,,
7/6/2012,6,212,,
7/7/2012,6,213,,
7/8/2012,3,103,,
7/9/2012,3,93,,
7/10/2012,6,170,,
7/11/2012,6,193,,
7/12/2012,6,171,,
7/13/2012,3.5,87,,
7/14/2012,6,170,,
7/15/2012,3,82,,
7/16/2012,3,82,,
7/17/2012,2.5,49,,
7/18/2012,6,183,,
7/19/2012,6,154,,
7/20/2012,4.5,111,,
7/21/2012,6,191,,
7/22/2012,3,114,,
7/23/2012,3,97,,
7/24/2012,6,182,,
7/25/2012,6,139,,
7/26/2012,6,190,,
7/27/2012,5.25,189,,
7/28/2012,6,159,,
7/29/2012,3,87,,
7/30/2012,3,101,,
7/31/2012,6,114,,
8/1/2012,6,161,,
8/2/2012,6,229,,
8/3/2012,6,150,,
8/4/2012,6,195,,
8/5/2012,3,94,,
8/6/2012,3,82,,
8/7/2012,6,148,,
8/8/2012,6,126,,
8/9/2012,6,158,,
8/10/2012,6,169,,
8/11/2012,6,198,,
8/12/2012,3,92,,
8/13/2012,3,59,,
8/14/2012,6,146,,
8/15/2012,6,147,,
8/16/2012,6,143,,
8/17/2012,6,138,,
8/18/2012,6,152,,
8/19/2012,3,117,,
8/20/2012,3,70,,
8/21/2012,6,105,,
8/22/2012,6,139,,
8/23/2012,6,136,,
8/24/2012,6,113,,
8/25/2012,6,165,,
8/26/2012,3,103,,
8/27/2012,3,32,,
8/28/2012,0,0,,
8/29/2012,3.5,17,,
8/30/2012,6,26,,
8/31/2012,6,40,,
9/1/2012,6,148,,
9/2/2012,3,106,,
9/3/2012,2.5,89,,
9/4/2012,0,0,,
9/5/2012,6,23,,
9/6/2012,6,13,,
9/7/2012,6,41,,
9/8/2012,6,115,,
9/9/2012,3,102,,
9/10/2012,3,5,,
9/11/2012,6,10,,
9/12/2012,3,37,,
9/13/2012,6,56,,
9/14/2012,6,24,,
9/15/2012,0,0,,
9/16/2012,3,93,,
9/17/2012,3,29,,
9/18/2012,6,18,,
9/19/2012,3,28,,
9/20/2012,6,12,,
9/21/2012,6,64,,
9/22/2012,6,119,,
9/23/2012,3,100,,
9/24/2012,0,0,,
9/25/2012,6,48,,
9/26/2012,0,0,,
9/27/2012,6,25,,
9/28/2012,6,47,,
9/29/2012,6,150,,
9/30/2012,3,92,,
10/1/2012,3,54,,
10/2/2012,6,45,,
10/3/2012,6,0,,
10/4/2012,6,52,,
10/5/2012,6,90,,
10/6/2012,6,84,,
10/7/2012,3,124,,
10/8/2012,3,36,,
10/9/2012,6,79,,
10/10/2012,3,17,,
10/11/2012,6,50,,
10/12/2012,6,87,,
10/13/2012,6,122,,
10/14/2012,3,35,,
10/15/2012,3,19,,
10/16/2012,0,0,,
10/17/2012,6,57,,
10/18/2012,6,104,,
10/19/2012,6,97,,
10/20/2012,6,77,,
10/21/2012,3,67,,
10/22/2012,3,41,,
10/23/2012,6,48,,
10/24/2012,0,0,,
10/25/2012,6,49,,
10/26/2012,6,133,,
10/27/2012,6,134,,
10/28/2012,3,79,,
10/29/2012,3,53,,
10/30/2012,6,50,,
10/31/2012,6,52,,
11/1/2012,6,47,,
11/2/2012,6,134,,
11/3/2012,6,115,,
11/4/2012,3,70,,
11/5/2012,3,25,,
11/6/2012,2,31,,
11/7/2012,6,11,,
11/8/2012,6,60,,
11/9/2012,6,96,,
11/10/2012,6,111,,
11/11/2012,3,95,,
11/12/2012,3,97,,
11/13/2012,2.5,17,,
11/14/2012,0,0,,
11/15/2012,6,60,,
11/16/2012,6,100,,
11/17/2012,6,115,,
11/18/2012,3,74,,
11/19/2012,3,72,,
11/20/2012,6,59,,
11/21/2012,6,104,,
11/22/2012,0,0,,
11/23/2012,6,165,,
11/24/2012,6,162,,
11/25/2012,3,62,,
11/26/2012,3,44,,
11/27/2012,6,29,,
11/28/2012,6,63,,
11/29/2012,6,68,,
11/30/2012,6,77,,
12/1/2012,6,110,,
12/2/2012,3,45,,
12/3/2012,3,0,,
12/4/2012,6,24,,
12/5/2012,6,74,,
12/6/2012,6,55,,
12/7/2012,6,84,,
12/8/2012,6,80,,
12/9/2012,3,57,,
12/10/2012,3,92,,
12/11/2012,3,12,,
12/12/2012,6,26,,
12/13/2012,3,26,,
12/14/2012,2,2,,
12/15/2012,6,98,,
12/16/2012,3,79,,
12/17/2012,3,21,,
12/18/2012,6,26,,
12/19/2012,6,8,,
12/20/2012,6,50,,
12/21/2012,6,127,,
12/22/2012,3,143,,
12/23/2012,3,72,,
12/24/2012,0,0,,
12/25/2012,0,0,,
12/26/2012,6,123,,
