Date,Hours,Visitors,Visitors/Hr,Notes
1/1/2013,0,0,Closed,New Year's Day
1/2/2013,6,90,15,
1/3/2013,3,60,20,
1/4/2013,6,88,14.66666667,
1/5/2013,6,284,47.33333333,
1/6/2013,3,71,23.66666667,
1/7/2013,6,54,9,
1/8/2013,6,35,5.833333333,
1/9/2013,6,53,8.833333333,
1/10/2013,3,5,1.666666667,
1/11/2013,3,70,23.33333333,
1/12/2013,6,155,25.83333333,
1/13/2013,3,82,27.33333333,
1/14/2013,6,22,3.666666667,
1/15/2013,6,24,4,
1/16/2013,6,121,20.16666667,
1/17/2013,3,68,22.66666667,
1/18/2013,6,54,9,
1/19/2013,6,216,36,
1/20/2013,3,147,49,
1/21/2013,6,242,40.33333333,
1/22/2013,6,124,20.66666667,
1/23/2013,6,55,9.166666667,
1/24/2013,3,46,15.33333333,
1/25/2013,6,20,3.333333333,
1/26/2013,5,219,43.8,
1/27/2013,3,260,86.66666667,
1/28/2013,6,35,5.833333333,
1/29/2013,6,48,8,
1/30/2013,6,13,2.166666667,
1/31/2013,3,87,29,
2/1/2013,6,140,23.33333333,
2/2/2013,6,231,38.5,
2/3/2013,3,41,13.66666667,
2/4/2013,6,24,4,
2/5/2013,6,94,15.66666667,
2/6/2013,6,14,2.333333333,
2/7/2013,3,127,42.33333333,
2/8/2013,6,23,3.833333333,
2/9/2013,6,181,30.16666667,
2/10/2013,3,58,19.33333333,
2/11/2013,6,27,4.5,
2/12/2013,6,54,9,
2/13/2013,6,28,4.666666667,
2/14/2013,3,91,30.33333333,
2/15/2013,6,64,10.66666667,
2/16/2013,6,136,22.66666667,
2/17/2013,3,156,52,
2/18/2013,6,154,25.66666667,
2/19/2013,6,143,23.83333333,
2/20/2013,6,80,13.33333333,
2/21/2013,3,136,45.33333333,
2/22/2013,6,95,15.83333333,
2/23/2013,6,308,51.33333333,
2/24/2013,3,65,21.66666667,
2/25/2013,6,11,1.833333333,
2/26/2013,6,82,13.66666667,
2/27/2013,6,124,20.66666667,
2/28/2013,3,83,27.66666667,
3/1/2013,6,141,23.5,
3/2/2013,6,135,22.5,
3/3/2013,3,85,28.33333333,
3/4/2013,6,11,1.833333333,
3/5/2013,6,46,7.666666667,
3/6/2013,6,86,14.33333333,
3/7/2013,3,80,26.66666667,
3/8/2013,6,90,15,
3/9/2013,6,120,20,
3/10/2013,3,60,20,
3/11/2013,6,41,6.833333333,
3/12/2013,6,179,29.83333333,
3/13/2013,6,93,15.5,
3/14/2013,3,142,47.33333333,
3/15/2013,3,27,9,
3/16/2013,6,110,18.33333333,
3/17/2013,3,51,17,
3/18/2013,6,41,6.833333333,
3/19/2013,6,98,16.33333333,
3/20/2013,6,111,18.5,
3/21/2013,3,72,24,
3/22/2013,2,16,8,
3/23/2013,6,229,38.16666667,
3/24/2013,3,112,37.33333333,
3/25/2013,6,154,25.66666667,
3/26/2013,6,121,20.16666667,
3/27/2013,6,148,24.66666667,
3/28/2013,3,149,49.66666667,
3/29/2013,6,256,42.66666667,
3/30/2013,6,162,27,
3/31/2013,3,58,19.33333333,
4/1/2013,6,207,34.5,
4/2/2013,6,296,49.33333333,
4/3/2013,0,0,Closed,Classes
4/4/2013,3,171,57,
4/5/2013,6,312,52,
4/6/2013,6,121,20.16666667,
4/7/2013,3,35,11.66666667,
4/8/2013,6,60,10,
4/9/2013,6,77,12.83333333,
4/10/2013,6,85,14.16666667,
4/11/2013,3,101,33.66666667,
4/12/2013,6,127,21.16666667,
4/13/2013,6,135,22.5,
4/14/2013,3,65,21.66666667,
4/15/2013,6,94,15.66666667,
4/16/2013,6,50,8.333333333,
4/17/2013,3,20,6.666666667,
4/18/2013,3,67,22.33333333,
4/19/2013,6,152,25.33333333,
4/20/2013,6,151,25.16666667,
4/21/2013,3,41,13.66666667,
4/22/2013,6,80,13.33333333,
4/23/2013,6,150,25,
4/24/2013,6,113,18.83333333,
4/25/2013,3,59,19.66666667,
4/26/2013,0,0,Closed,Classes
4/27/2013,6,136,22.66666667,
4/28/2013,3,108,36,
4/29/2013,6,29,4.833333333,
4/30/2013,6,177,29.5,
5/1/2013,6,105,17.5,
5/2/2013,3,152,50.66666667,
5/3/2013,6,104,17.33333333,
5/4/2013,6,132,22,
5/5/2013,3,74,24.66666667,
5/6/2013,6,51,8.5,
5/7/2013,6,106,17.66666667,
5/8/2013,2,30,15,
5/9/2013,3,28,9.333333333,
5/10/2013,6,238,39.66666667,
5/11/2013,6,96,16,
5/12/2013,3,46,15.33333333,
5/13/2013,6,24,4,
5/14/2013,6,42,7,
5/15/2013,6,77,12.83333333,
5/16/2013,3,54,18,
5/17/2013,6,8,1.333333333,
5/18/2013,6,157,26.16666667,
5/19/2013,3,42,14,
5/20/2013,6,34,5.666666667,
5/21/2013,6,78,13,
5/22/2013,6,20,3.333333333,
5/23/2013,3,18,6,
5/24/2013,6,13,2.166666667,
5/25/2013,6,103,17.16666667,
5/26/2013,3,63,21,
5/27/2013,6,57,9.5,
5/28/2013,6,126,21,
5/29/2013,6,100,16.66666667,
5/30/2013,3,65,21.66666667,
5/31/2013,6,159,26.5,
6/1/2013,6,100,16.66666667,
6/2/2013,3,49,16.33333333,
6/3/2013,6,147,24.5,
6/4/2013,6,133,22.16666667,
6/5/2013,6,95,15.83333333,
6/6/2013,3,44,14.66666667,
6/7/2013,6,69,11.5,
6/8/2013,6,138,23,
6/9/2013,3,43,14.33333333,
6/10/2013,6,107,17.83333333,
